,review,starts
0,"??????? ???? ? ?????? ?????? ??? ?????? ??????? ? ??????? ???? ????????? ??????? ????????? ??????, ???????? ???????? ??? ????? ??????????? ???????? (?? 70), ????? ??????? ? ??????????, ??????? ??????? ?????????? ??? ? ????? ??????, ????? ?????????? ? ???????, ?????? ?????? ???? ?? ? ?????? ??? ??? ????? ?? ? ?? ??????? ?? ????? ???? ????? ??????? (?????? ? 6010) ?? ????? ???????, ??????? ?? ????????? ? ??? ??????? ????? ?? (????? ????????? ? ????? ??????????). ????? ??????? ?? 2?? ????, ? ??????? ????????? ?????, ??????? ???????. ???????????: ?????????? ??????? ???????, ????. ??????????: ???",5
1,"??????????? ??????? ???????? ??? ????. ???????? ??????? ??????? ??? ?? 80, ? ??? ( ? ?? ????) ??? ?? ?????? ?? ?????:) - ??????????? ?? ???(???????? ???? ??? ??? ????????????) ??????? ??? ?????? ? ?? ??????? ???????? ?? ???. ? ??? ????, ?????, ???????, ?????????? ??????? ?????, ???? ??????????, ??? ?????, ??????????? ????? ?????? (?? ????? ?????? ??? ??????? ???, ???? ?????? ?????? ???? - ????? ????????? ????? ??????), ?????? ???????? ????? - ????? ?????? ??? ? ??????????? ?? ??? (??????? ???????... ????? ??????? ????? ?? ????? :))), ? ????????? ????????, ? ??????? ?????? ????????? ????? ????????, ?????????? ??????????? (???? ???????? ?? ???????)- ?????????? ????? ??? ???, ? ???? ??????? ????? ?????????????... ????? ????? ???????, ? ????? ?????? ?? ??? ??? ??? ????????.?? ?????? - ??????? ?????? :))) ??? ???? ????? ?????? ??????? (?? 90) ?????? ???????, ?? ????? ? ??? ???? ??????, ?? - ? ? ???????? ?? ???? ?? ????????? ? ????, ??? ?? ??? - ????????- ??? ????????????? ?????????... ? ???? ??????? ???? ???????? ????? ??? ?????????, ?? ????? ????? ????? ????????? ???????...????? ? ????? ??? ????????- ??????? ? ???? - ??????? ""? ???????"" :).? ????? - ???????? ??????????? ??? ????????? ????????? :) ???????????: ????- ????????- ?????????? ??????????: ?? ?????? ?????????? ? ???????? ""??????? ????? ??????"", ??? ?? ???????? ??????? ????? ??????? ?????? ??????????- ????? ?????? ???? :) (??????? ? ??????? ???? ?? ??????????)",5
2,??????? ??????? ???????????: ?????? ??????? ios 11 ?? apple ??????????: ??????? fps ? gta5,5
3,"??????? ??????? ?? 2 ??? ????? ??????????. ?????? ????????? ???????? ??????? ??? ??????? ??????. ??????? ? ????????? ????????? ????? ????????.? ?????? ???????? ???????????. ??????????!#????????????? ???????????: ????????, ???????, 2 ?????, ?????? ?????? ??????????: ?? ???????",5
4,"? ????????? ???? ????????? , ???????? ??? ??????? ???????????: ??? ?????? ?????",5
5,"??????? ????????. ??????, ????????????, ????? ???????. ??? ????????? ????? ?????. ???????? ???? ???????? ??????: ?????? ????????, ??? ?????? ?? ????? ????? ?????????, ???? ? ????????? ?????????, ???? ??? ????? ??????. ????? ??????? ???????? ? ??????? ?????.?????. ???????!!! ???????????: ??????, ????, ???????? ??????????: ???",5
6,"?????????? ??????? ????? ????????? :) ???????????: ???????, ?????????, ??????????? ??????? ?????????, ??????, ??????? ??????????: ????????? ?????",5
7,? ???? ???????? ? ?????????? ???? ? ??????????? ???? ??? ?? ????? ?? ?????? ? ?????????? ???????????? ????????? ???????? ? ??????????????? ??????? ??? ??????? ????????? ? ???????. ???????????: ??? ?? ?????? ??????????: ?? ?????,5
8,"???????? ????? ?????? ??????????? - ??? ??? ??????? ??????????????? - ???? ??? ?????? ???? ????? ?????????, ??? ?? ? ?????????? ????? ????????.?????? ??????? - ??????? ????? ???????????. ???????? ??? ??????? - ???????? ?????????. ??????? ???? ? ???????, ????????? ????????? ? ?????????? ????? ? ???.???????, ?????? - ??? ??????? ?????? ?????? ? ?? ?????. ???????????: ????? ??????? ???????. ??? ??? 600??? ???????? ?????. ??????. ????? ?????? ????? ????????. ??????????: ?????? ????? ?????? ?????????? ? ???????? - ?????? ??? ????. ??? ????? ?????? ??????????? ?????? 1 ???.",5
9,https://youtu.be/lkfx-eeot9s??? ?????????? ???????????: https://youtu.be/lkfx-eeot9s??? ??????????,5
